id,source,split,num_gt_spans,num_pred_spans,correct,missing_spans,extra_spans,text
viocd_test_4,viocd,test,0,0,1,,,hàng cũng được nhưng vãi hơi mỏng
viocd_test_5,viocd,test,0,0,1,,,không như ý muốn
viocd_test_6,viocd,test,0,0,1,,,sao tôi dịch tiếng nhật mà nó vẫn ra tiếng nhật tôi chỉ cho   1star
viocd_test_8,viocd,test,5,5,0,[53:58:COMP] | [1:11:COMP],[5:11:COMP] | [0:5:COMP],"tiki huỷ đơn hàng rồi không hoàn tiền cho khách hàng, gọi điện cs không nghe máy, viết mail trả lời tự động cho khách hàng một cách vô trách nhiệm. thiếu nhân viên không giao được hàng thì việc tối th"
viocd_test_10,viocd,test,3,1,0,[14:16:COMP] | [17:31:COMP] | [39:41:COMP],[14:41:COMP],"game play cực hay, đồ hoạ rất đẹp, khen ông design,... có điều là khó chịu với cái cơ chế triệu hồi vật phẩm các thứ bằng chúa khoá quá đắt, chỉ có 2 loại rương để mở thì hơi chán. đa số các gamer đều"
viocd_test_11,viocd,test,0,0,1,,,đẹp nhưng màu hơi không giống hình chút thui...
viocd_test_12,viocd,test,3,4,0,[39:43:COMP] | [0:7:COMP] | [44:66:COMP],[0:11:COMP] | [26:34:COMP] | [39:44:COMP] | [44:60:COMP],"tài khoản facebOk bị vô hiệu hoá một cách ngu xuẩn. facebOk là ứng dụng giúp tôi giải trí và trò chuyện với mọi người. nhưng giờ nó yêu cầu cả quyền cung cấp cmnd, gplx, V... bla bla... bảo mật yếu ké"
viocd_test_14,viocd,test,3,3,1,,,"dép đi hơi trơn trợt, mang lâu chút là đỗ mồ hôi, rít chân. không hài lòng"
viocd_test_15,viocd,test,1,0,0,[5:11:COMP],,mỗi lần vẽ nó cứ rung điện thoại rất khó chs mong nhà sảng xuất kiểm tra lại
viocd_test_17,viocd,test,0,0,1,,,"ứng dụng rất hay. nhưng mình thấy phần dịch nhật-việt lên để chỉ dịch ra tiếng việt, vì hầu hết mọi người không biết tiếng anh. để ý nghĩa tiếng anh sang phần dịch nhật-anh thì hợp lý hơn."
viocd_test_20,viocd,test,5,3,0,[46:62:COMP] | [7:27:COMP] | [38:42:COMP],[37:49:COMP],"vào các mục tìm kiếm rất chậm. tin nhắn mấy ngày mới thấy kiểm tra đơn hàng cũng phải đợi hơn nữa giờ mới thấy  được , vô cùng bất tiện trước thích bao nhiều yêu  thì giờ chán bấy nhiêu mong admin xem"
viocd_test_21,viocd,test,0,0,1,,,hay nhưng nhà phát hành cho thêm hiệu ứng tự cập nhật phiên bản mới nhất cho điện thoại với lại như vậy có lẽ nó sẽ hay hơn nhiều à mong nhà phát hành cho thêm cách kiếm xu mini để trẻ nhỏ chơi nữa và
viocd_test_25,viocd,test,0,0,1,,,màu đẹp nhưng sản xuất tại trung quốc quốc nên chỉ make đăng chân để mặc váy.
viocd_test_27,viocd,test,4,5,0,[12:24:COMP] | [47:57:COMP] | [60:70:COMP],[0:5:COMP] | [12:30:COMP] | [61:69:COMP] | [51:56:COMP],"quá tệ,hàng hay bị lỗi,còn giao hàng cục đá tới nữa chứ, trả đổi hàng lại gần cả tháng chả thấy hồi âm, điện thoại lên thì không trả lời, sử dụng cũng gần 2 năm mua rất nhiều đồ nhưng kể từ vài tháng "
viocd_test_31,viocd,test,0,0,1,,,"đơn hàng có quà tặng mà nhận được có kem ko, chả thấy quà đâu 🙄"
