record_id,error_type,token_index,token_text,token_start,assigned_label,expected_label,span_start,span_end,span_text,span_type
uvisd4sa_train_1,wrong_start_label,27,đều,54,I-ASP,B-ASP,55,146,ều OK ... nhân viên thế giới di động trần văn thời cà mau nhiệt tình và vui vẻ ...chúc các ,aspect
uvisd4sa_train_1,wrong_inside_label,30, ,60,B-ASP,I-ASP,55,146,ều OK ... nhân viên thế giới di động trần văn thời cà mau nhiệt tình và vui vẻ ...chúc các ,aspect
uvisd4sa_train_3,wrong_start_label,28,hơn,59,I-ASP,B-ASP,59,84,hơn tụt quần haizz. Cam c,aspect
uvisd4sa_train_3,wrong_inside_label,33, ,71,B-ASP,I-ASP,59,84,hơn tụt quần haizz. Cam c,aspect
uvisd4sa_train_6,wrong_start_label,9,trâu,16,I-ASP,B-ASP,19,126,u game lp tuy chỉ bựt đc fqf30 nhưng chơi game như bựt 60fqs ko bị mỏi mắt ngon hơn joy 3 chơi nhìn như kiể,aspect
uvisd4sa_train_6,wrong_inside_label,10, ,20,B-ASP,I-ASP,19,126,u game lp tuy chỉ bựt đc fqf30 nhưng chơi game như bựt 60fqs ko bị mỏi mắt ngon hơn joy 3 chơi nhìn như kiể,aspect
uvisd4sa_train_8,wrong_start_label,14,OKPin,29,I-ASP,B-ASP,31,39,Pin trâu,aspect
uvisd4sa_train_8,wrong_inside_label,15, ,34,B-ASP,I-ASP,31,39,Pin trâu,aspect
uvisd4sa_train_8,wrong_start_label,14,OKPin,29,I-ASP,B-ASP,32,39,in trâu,aspect
uvisd4sa_train_8,wrong_inside_label,15, ,34,B-ASP,I-ASP,32,39,in trâu,aspect
uvisd4sa_train_8,wrong_start_label,66,liên,127,I-ASP,B-ASP,129,170,ên quân vô nhanh gần ngang ip . Vs mức gi,aspect
uvisd4sa_train_8,wrong_inside_label,79, ,158,B-ASP,I-ASP,129,170,ên quân vô nhanh gần ngang ip . Vs mức gi,aspect
uvisd4sa_train_9,wrong_start_label,2,mượt,4,I-ASP,B-ASP,7,15,t . pin ,aspect
uvisd4sa_train_9,wrong_inside_label,3, ,8,B-ASP,I-ASP,7,15,t . pin ,aspect
uvisd4sa_train_16,wrong_start_label,20, ,44,I-ASP,B-ASP,44,58," pin, trâu lắm",aspect
uvisd4sa_train_19,wrong_start_label,6,thật,14,I-ASP,B-ASP,17,110,t sự lỗi cảm ứng liên tục tắt màn hình rồi bật lên lại dc một lúc sau lại bị wifi vô cùng kém,aspect
uvisd4sa_train_19,wrong_inside_label,9, ,21,B-ASP,I-ASP,17,110,t sự lỗi cảm ứng liên tục tắt màn hình rồi bật lên lại dc một lúc sau lại bị wifi vô cùng kém,aspect
uvisd4sa_train_22,wrong_start_label,34, ,70,I-ASP,B-ASP,70,78, được gi,aspect
uvisd4sa_train_27,wrong_start_label,28,siêu,43,I-ASP,B-ASP,46,71,"u nhạy, mượt mà trong ",aspect
uvisd4sa_train_27,wrong_inside_label,33,",",53,B-ASP,I-ASP,46,71,"u nhạy, mượt mà trong ",aspect
uvisd4sa_train_33,wrong_start_label,4,hình,9,I-ASP,B-ASP,11,36,nh ngoại hình ko chê vào ,aspect
uvisd4sa_train_33,wrong_inside_label,5, ,13,B-ASP,I-ASP,11,36,nh ngoại hình ko chê vào ,aspect
uvisd4sa_train_33,wrong_start_label,36,chơi,81,I-ASP,B-ASP,82,97,hơi ko thấy nón,aspect
uvisd4sa_train_34,wrong_start_label,31,mặt,66,I-ASP,B-ASP,66,132,mặt lúc dc lúc k.. lỗi màn hình khi mở máy .. màn hình vẫn tối ,aspect
