record_id,source,task,split,start,end,text_extracted,error
uvisd4sa_train_595,uvisd4sa,aspect_term_extraction,train,181,227,,end=227 > len(text)=225
uvisd4sa_train_832,uvisd4sa,aspect_term_extraction,train,8,89,,end=89 > len(text)=87
uvisd4sa_train_1349,uvisd4sa,aspect_term_extraction,train,81,111,,end=111 > len(text)=109
uvisd4sa_train_1609,uvisd4sa,aspect_term_extraction,train,64,151,,end=151 > len(text)=149
uvisd4sa_train_1687,uvisd4sa,aspect_term_extraction,train,94,138,,end=138 > len(text)=136
uvisd4sa_train_1801,uvisd4sa,aspect_term_extraction,train,59,174,,end=174 > len(text)=172
uvisd4sa_train_1810,uvisd4sa,aspect_term_extraction,train,26,95,,end=95 > len(text)=93
uvisd4sa_train_1931,uvisd4sa,aspect_term_extraction,train,61,241,,end=241 > len(text)=239
uvisd4sa_train_1940,uvisd4sa,aspect_term_extraction,train,53,109,,end=109 > len(text)=107
uvisd4sa_train_2108,uvisd4sa,aspect_term_extraction,train,25,111,,end=111 > len(text)=109
uvisd4sa_train_2593,uvisd4sa,aspect_term_extraction,train,25,89,,end=89 > len(text)=87
uvisd4sa_train_3035,uvisd4sa,aspect_term_extraction,train,137,175,,end=175 > len(text)=173
uvisd4sa_train_3632,uvisd4sa,aspect_term_extraction,train,70,126,,end=126 > len(text)=124
uvisd4sa_train_4032,uvisd4sa,aspect_term_extraction,train,82,115,,end=115 > len(text)=113
uvisd4sa_train_4178,uvisd4sa,aspect_term_extraction,train,647,695,,end=695 > len(text)=693
uvisd4sa_train_4269,uvisd4sa,aspect_term_extraction,train,178,221,,end=221 > len(text)=219
uvisd4sa_train_4572,uvisd4sa,aspect_term_extraction,train,101,192,,end=192 > len(text)=190
uvisd4sa_train_4607,uvisd4sa,aspect_term_extraction,train,151,164,,end=164 > len(text)=162
uvisd4sa_train_5198,uvisd4sa,aspect_term_extraction,train,35,110,,end=110 > len(text)=108
uvisd4sa_train_6200,uvisd4sa,aspect_term_extraction,train,105,120,,end=120 > len(text)=118
uvisd4sa_train_7198,uvisd4sa,aspect_term_extraction,train,54,83,,end=83 > len(text)=81
uvisd4sa_train_7274,uvisd4sa,aspect_term_extraction,train,0,99,,end=99 > len(text)=97
uvisd4sa_train_7490,uvisd4sa,aspect_term_extraction,train,238,257,,end=257 > len(text)=255
uvisd4sa_train_7570,uvisd4sa,aspect_term_extraction,train,34,83,,end=83 > len(text)=81
uvisd4sa_train_7774,uvisd4sa,aspect_term_extraction,train,94,138,,end=138 > len(text)=136
uvisd4sa_valid_40,uvisd4sa,aspect_term_extraction,valid,140,165,,end=165 > len(text)=163
uvisd4sa_valid_275,uvisd4sa,aspect_term_extraction,valid,51,81,,end=81 > len(text)=79
uvisd4sa_valid_324,uvisd4sa,aspect_term_extraction,valid,83,177,,end=177 > len(text)=175
uvisd4sa_valid_353,uvisd4sa,aspect_term_extraction,valid,32,96,,end=96 > len(text)=86
uvisd4sa_valid_543,uvisd4sa,aspect_term_extraction,valid,97,180,,end=180 > len(text)=178
uvisd4sa_valid_935,uvisd4sa,aspect_term_extraction,valid,40,98,,end=98 > len(text)=96
uvisd4sa_valid_1022,uvisd4sa,aspect_term_extraction,valid,54,102,,end=102 > len(text)=100
uvisd4sa_test_372,uvisd4sa,aspect_term_extraction,test,67,92,,end=92 > len(text)=90
uvisd4sa_test_458,uvisd4sa,aspect_term_extraction,test,71,109,,end=109 > len(text)=107
uvisd4sa_test_1132,uvisd4sa,aspect_term_extraction,test,177,191,,end=191 > len(text)=189
uvisd4sa_test_1192,uvisd4sa,aspect_term_extraction,test,48,90,,end=90 > len(text)=88
uvisd4sa_test_1278,uvisd4sa,aspect_term_extraction,test,60,86,,end=86 > len(text)=84
uvisd4sa_test_1440,uvisd4sa,aspect_term_extraction,test,57,87,,end=87 > len(text)=85
uvisd4sa_test_1612,uvisd4sa,aspect_term_extraction,test,56,98,,end=98 > len(text)=96
uvisd4sa_test_1767,uvisd4sa,aspect_term_extraction,test,0,103,,end=103 > len(text)=101
uvisd4sa_test_1888,uvisd4sa,aspect_term_extraction,test,0,83,,end=83 > len(text)=81
